#{"t_start": 1656948295.0103543, "env_id": "CustomHopper-source-v0"}
r,l,t
149.812982,74,21.673046
294.794926,122,21.984535
294.52415,128,22.075101
310.048689,129,22.168063
301.036903,136,22.262688
162.022089,84,22.320708
199.471042,100,22.390768
231.797767,108,22.467086
185.127489,87,22.527664
347.627844,158,22.638313
145.609563,79,22.693369
361.444173,164,22.809014
216.603609,100,22.880196
283.839067,130,22.971148
312.395261,134,23.068828
342.819921,155,23.181681
255.559496,122,23.270165
265.525854,124,23.357713
372.997452,166,23.67837
338.836873,149,23.782286
316.868132,141,23.882334
297.381526,126,23.970797
333.081915,132,24.064426
331.15967,142,24.163703
277.999796,114,24.244328
327.481628,135,24.339934
311.720373,142,24.439134
371.703153,159,24.551698
327.513884,135,24.646418
302.474621,148,24.75177
315.883857,142,24.850878
326.835879,141,24.950001
245.996985,124,25.433571
69.65545,42,25.463972
324.284367,134,25.558565
314.886477,144,25.66071
345.673195,159,25.77269
351.940767,158,25.891891
349.374468,140,26.000076
315.362505,135,26.105353
334.869059,150,26.224869
339.519115,150,26.340045
349.795127,148,26.444141
322.709102,131,26.538321
332.376018,140,26.638372
348.146254,145,26.74146
291.620357,121,26.827721
359.604624,158,27.143162
358.189454,148,27.248532
129.664473,71,27.299708
167.377607,80,27.355827
359.659934,148,27.4604
385.504655,159,27.571675
311.408407,135,27.667182
318.880843,135,27.76221
355.107295,151,27.867516
213.892962,99,27.937739
459.263398,186,28.067815
156.074592,74,28.120018
320.783361,143,28.221491
322.534129,139,28.319804
345.202402,146,28.422866
317.962864,137,28.72886
369.208533,160,28.842064
302.570751,131,28.93478
319.250241,140,29.032954
313.503775,138,29.131268
273.5668,109,29.207446
333.172296,146,29.31174
312.157291,145,29.412784
233.02518,107,29.488301
312.919947,136,29.585238
309.315046,125,29.673062
368.25695,160,29.784945
319.858143,140,29.883893
307.806154,126,29.9726
333.037474,141,30.072543
320.057278,140,30.594117
351.544848,139,30.692956
352.615781,142,30.793239
348.887035,141,30.897431
261.368478,123,30.983508
328.97364,143,31.086802
357.951264,140,31.186047
338.462335,149,31.294442
430.969883,157,31.410374
345.733892,143,31.514162
339.150983,153,31.621717
339.563678,138,31.720862
346.292536,138,31.818261
343.162373,142,31.918338
324.18775,138,32.225604
355.738619,163,32.342749
341.857437,144,32.44644
328.232669,142,32.556537
336.709664,142,32.666512
417.844369,177,32.805314
460.118123,186,32.93573
386.696909,166,33.052726
338.289644,146,33.155624
401.934095,161,33.268612
496.501044,196,33.40497
339.106602,136,33.500106
371.661916,149,33.604896
344.034549,145,33.912324
339.90748,142,34.012892
301.566278,135,34.106689
377.720191,148,34.209534
388.580631,157,34.320228
356.959251,147,34.423498
459.952027,164,34.536549
347.178326,140,34.635061
339.11258,145,34.735756
362.732861,146,34.837671
369.557104,144,34.937356
639.432219,216,35.087006
539.833316,189,35.218679
431.176505,164,35.754243
413.237176,164,35.869527
242.580518,114,35.948999
366.7409,155,36.058794
429.474928,163,36.173401
322.608267,145,36.275059
366.444161,135,36.370112
367.872337,149,36.474742
314.571228,142,36.573026
346.557367,147,36.676497
360.454068,137,36.772628
414.653134,153,36.878787
546.8874,193,37.014011
485.987016,185,37.344263
422.321753,161,37.457534
384.796615,143,37.5603
381.875472,148,37.664978
452.075879,170,37.784122
400.659574,151,37.892001
373.071231,141,37.991597
405.052343,152,38.099305
546.939982,199,38.238352
399.861409,149,38.344313
379.444714,146,38.446906
382.19592,149,38.553005
435.688872,158,38.664774
615.142046,207,39.016226
409.385634,153,39.123313
514.24496,182,39.251861
572.135073,188,39.382789
583.028098,219,39.536808
392.91993,157,39.647495
434.454589,171,39.767338
481.25664,165,39.883117
437.606706,157,39.994193
440.99903,158,40.105777
394.026116,157,40.215149
506.884477,174,40.337468
395.209395,166,40.786948
311.022539,144,40.889261
352.941285,148,40.993526
433.200809,184,41.122735
307.446086,139,41.221447
776.958287,263,41.405894
499.245548,193,41.542572
785.418241,289,41.746025
325.456252,131,41.83877
584.965959,205,41.983373
668.2635,280,42.38205
608.935924,215,42.534224
280.596017,132,42.625975
619.277223,214,42.776499
261.757272,126,42.86453
286.666882,125,42.951826
538.680173,244,43.121809
316.567939,128,43.210561
274.060832,132,43.30389
579.358772,205,43.446961
500.134893,207,43.591057
579.928583,200,43.730783
376.214406,164,44.048625
355.399993,151,44.154843
1192.109487,416,44.443307
471.890745,187,44.574443
502.738916,197,44.710655
452.365458,187,44.841167
417.156834,172,44.96162
626.242153,227,45.119475
353.504578,137,45.215461
500.805294,191,45.981218
541.512618,181,46.107481
789.480453,277,46.299487
862.374195,300,46.5074
634.236752,217,46.65908
